year,country,region,happiness_rank,happiness_score,standard_error_of_happiness_score,lower_confidence_interval,upper_confidence_interval,dystopia_residual,explained_by_freedom_to_make_life_choices,explained_by_gdp_per_capita,explained_by_generosity,explained_by_healthy_life_expectancy,explained_by_perceptions_of_corruption,explained_by_social_support,freedom_to_make_life_choices,generosity,healthy_life_expectancy,perceptions_of_corruption,social_support,logged_gdp_per_capita,ladder_score_in_dystopia,id
2020,Hungary,Central and East Europe,53,6.000400066,0.039473221,5.923032761,6.077767372,2.121845722,0.386401802,1.164307117,0.070491239,0.806793869,0.027548173,1.423009396,0.718964577,-0.194323018,67.60997009,0.892916501,0.921934128,10.24924374,1.972316742,348
2020,Thailand,Southeast Asia,54,5.998799801,0.042596295,5.91531086,6.082288742,1.832384109,0.609449804,1.007029295,0.376709014,0.793855846,0.031837862,1.347519517,0.905063033,0.268685192,67.25059509,0.886272311,0.889973223,9.741791725,1.972316742,764
2020,Argentina,Latin America and Caribbean,55,5.974699974,0.053441759,5.869954109,6.079445839,2.072540998,0.520840347,1.028465629,0.070100471,0.849773705,0.060415059,1.372543693,0.831132412,-0.194913864,68.80380249,0.842009842,0.900567949,9.810955048,1.972316742,32
2020,Honduras,Latin America and Caribbean,56,5.953199863,0.065731592,5.824366093,6.082033634,2.464295387,0.568148077,0.598763585,0.256528199,0.791989982,0.086807102,1.186664104,0.870603263,0.086969115,67.19876862,0.801131904,0.821870148,8.424534798,1.972316742,340
2020,Latvia,Central and East Europe,57,5.949999809,0.034838136,5.881717205,6.018282413,2.121283054,0.329198807,1.14139545,0.075407945,0.777902424,0.090391524,1.414398789,0.671237648,-0.186888844,66.8074646,0.795580089,0.918288589,10.17531967,1.972316742,428
2020,Ecuador,Latin America and Caribbean,58,5.925199986,0.052880634,5.821553707,6.028846264,2.254933834,0.555234551,0.853383601,0.115006477,0.838837743,0.086753383,1.221027613,0.859828949,-0.127014965,68.50003815,0.801215112,0.836418986,9.246058464,1.972316742,218
2020,Portugal,West Europe,59,5.910900116,0.053158198,5.806710243,6.015089989,1.752558708,0.589895189,1.168800831,0.053036947,0.979315281,0.027733466,1.339530349,0.888747811,-0.220714301,72.40202332,0.892629504,0.886590719,10.26374245,1.972316742,620
2020,Jamaica,Latin America and Caribbean,60,5.889800072,0.120590433,5.65344286,6.126157284,2.214436531,0.553124607,0.779058397,0.116268493,0.788434088,0.030147785,1.408289194,0.858068526,-0.125106767,67.09999847,0.888890028,0.915701866,9.006250381,1.972316742,388
2020,South Korea,East Asia,61,5.872399807,0.044085015,5.785993099,5.958806515,1.946757078,0.25935635,1.245300651,0.170303866,1.022542596,0.094596282,1.133560538,0.612965107,-0.043404032,73.6027298,0.789067447,0.799387157,10.51056671,1.972316742,410
2020,Japan,East Asia,62,5.870800018,0.041391667,5.789672375,5.951927662,1.486200333,0.495465875,1.26672411,0.03571178,1.072881341,0.181439638,1.332338691,0.809961379,-0.246910349,75.00096893,0.654558063,0.883545935,10.57968903,1.972316742,392
2020,Peru,Latin America and Caribbean,63,5.796800137,0.061311204,5.67663002,5.916970253,2.213499546,0.513210058,0.91854918,0.091611817,0.824444175,0.02703266,1.208405972,0.824766099,-0.16238822,68.10023499,0.893714964,0.831075251,9.456313133,1.972316742,604
2020,Serbia,Central and East Europe,64,5.77820015,0.050712325,5.678803921,5.877596378,2.029040098,0.395428419,0.988181829,0.15028289,0.828403294,0.059447147,1.327448964,0.726495862,-0.073676221,68.21020508,0.843509018,0.881475747,9.680980682,1.972316742,688
2020,Bolivia,Latin America and Caribbean,65,5.747499943,0.050645422,5.648234844,5.846765041,2.425928593,0.5744645,0.730976343,0.138375074,0.662445664,0.072942637,1.142350554,0.875873327,-0.09168113,63.6004715,0.822606206,0.803108692,8.851115227,1.972316742,68
2020,Pakistan,South Asia,66,5.69329977,0.048216224,5.598795891,5.78780365,2.976876736,0.405421734,0.616799474,0.228705063,0.469933242,0.122592121,0.872979581,0.734833717,0.04489987,58.25313568,0.745705426,0.689062297,8.482727051,1.972316742,586
2020,Paraguay,Latin America and Caribbean,67,5.692100048,0.051957864,5.590262413,5.793937683,1.83412528,0.586510062,0.897990823,0.204299241,0.735869646,0.065077379,1.36819756,0.885923445,0.007997713,65.63993835,0.834788501,0.898727894,9.389982224,1.972316742,600
2020,Dominican Republic,Latin America and Caribbean,68,5.689199924,0.069831297,5.552330494,5.826069355,1.844246864,0.5628739,0.983191848,0.112196781,0.741901696,0.115945682,1.328888893,0.866202772,-0.131263286,65.80748749,0.755999923,0.882085383,9.664880753,1.972316742,214
2020,Bosnia and Herzegovina,Central and East Europe,69,5.674099922,0.046385963,5.583183289,5.765016556,2.16724205,0.305365741,0.91839546,0.26400524399999997,0.813928187,0.001172487,1.203986526,0.651352704,0.098274559,67.80813599,0.933769107,0.829204142,9.455817223,1.972316742,70
2020,Moldova,Central and East Europe,70,5.607500076,0.042275578,5.524640083,5.690360069,2.370968342,0.389571488,0.707916796,0.174049184,0.713299453,0.014378744,1.237312198,0.721609175,-0.037741039,65.01301575,0.913314283,0.843313575,8.776714325,1.972316742,498
2020,Tajikistan,Central and East Europe,71,5.555699825,0.032321576,5.492349625,5.619050026,2.25650835,0.521141171,0.474874616,0.182417125,0.680594802,0.221779913,1.218377709,0.831383407,-0.025088511,64.10459137,0.592076063,0.835297108,8.024810791,1.972316742,762
2020,Montenegro,Central and East Europe,72,5.54610014,0.04898582,5.450088024,5.642112255,1.880565882,0.303223848,1.010150075,0.14901033,0.839028895,0.098435111,1.265657902,0.649565637,-0.075600356,68.50534821,0.783121586,0.855314612,9.751860619,1.972316742,499
2020,Russia,Central and East Europe,73,5.546000004,0.039609671,5.468365192,5.623634815,1.815716743,0.399499595,1.126999617,0.099041916,0.68044591,0.045699362,1.378644109,0.729892612,-0.151153743,64.10045624,0.864802599,0.903150737,10.12887192,1.972316742,643
2020,Kyrgyzstan,Central and East Europe,74,5.541500092,0.043677468,5.455892086,5.627108097,2.060206652,0.614617765,0.513180971,0.30137074,0.680645883,0.030466691,1.341036677,0.909374893,0.154772058,64.10601044,0.888396084,0.887228489,8.148405075,1.972316742,NA
2020,Belarus,Central and East Europe,75,5.539899826,0.037060037,5.467262268,5.612537384,1.8069911,0.290755868,1.018854499,0.08993306,0.75258857,0.193607435,1.38713932,0.639163077,-0.164926544,66.10433197,0.63571167,0.90674746,9.779945374,1.972316742,112
